epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2891.58,0.95337,0.72961,1.08159,0.69837,0.55183,0.61155,0.40509,1.12095,0.85443,1.1639,0.00273732,0.00273732,0.00273732
67,2934.53,0.93906,0.71714,1.07545,0.69456,0.54846,0.60745,0.39971,1.1168,0.8533,1.16049,0.00259864,0.00259864,0.00259864
68,2975.96,0.93639,0.71163,1.07463,0.67992,0.54984,0.60778,0.40284,1.11864,0.85261,1.15786,0.00246234,0.00246234,0.00246234
69,3019.11,0.93909,0.71312,1.07719,0.67303,0.56126,0.60721,0.40381,1.11974,0.85136,1.15913,0.00232855,0.00232855,0.00232855
70,3061.9,0.92897,0.70411,1.06979,0.69005,0.5371,0.60322,0.40158,1.11759,0.85217,1.15867,0.00219739,0.00219739,0.00219739
71,3104.39,0.92714,0.69845,1.06845,0.71511,0.53135,0.60235,0.40213,1.11661,0.85354,1.16043,0.00206901,0.00206901,0.00206901
72,3153.47,0.92348,0.69346,1.06591,0.7133,0.51705,0.60272,0.40188,1.11874,0.85534,1.16133,0.00194353,0.00194353,0.00194353
73,3197.03,0.92268,0.68624,1.06479,0.68003,0.54568,0.6003,0.39763,1.11731,0.8557,1.1613,0.00182107,0.00182107,0.00182107
74,3241.43,0.91207,0.67967,1.06271,0.68588,0.54842,0.60188,0.40208,1.11717,0.85671,1.16035,0.00170175,0.00170175,0.00170175
75,3284.74,0.91771,0.68549,1.0639,0.70163,0.53785,0.60624,0.40449,1.12039,0.8608,1.16213,0.00158569,0.00158569,0.00158569
76,3326.71,0.91123,0.67695,1.0599,0.70601,0.53755,0.60771,0.40538,1.12422,0.85993,1.1666,0.001473,0.001473,0.001473
77,3369.82,0.90982,0.67353,1.05864,0.70734,0.53347,0.60734,0.40371,1.12502,0.85778,1.16801,0.0013638,0.0013638,0.0013638
78,3413.1,0.90495,0.66801,1.05232,0.70983,0.53604,0.60694,0.40361,1.12596,0.85765,1.16969,0.0012582,0.0012582,0.0012582
79,3457.28,0.90226,0.6617,1.05387,0.69971,0.55093,0.60624,0.40154,1.12254,0.85683,1.16742,0.00115629,0.00115629,0.00115629
80,3502.85,0.89761,0.65386,1.04993,0.69927,0.54224,0.60349,0.40173,1.12254,0.85713,1.16769,0.00105818,0.00105818,0.00105818
81,3547.05,0.89213,0.65609,1.04895,0.72347,0.5351,0.60291,0.39995,1.1231,0.85502,1.16783,0.00096396,0.00096396,0.00096396
82,3593.36,0.89464,0.65337,1.04833,0.72058,0.53757,0.60425,0.39989,1.12366,0.85661,1.16878,0.000873733,0.000873733,0.000873733
83,3638.5,0.88671,0.64811,1.04965,0.72872,0.53308,0.60345,0.39939,1.12336,0.85801,1.16876,0.000787582,0.000787582,0.000787582
84,3683.47,0.87969,0.64012,1.04376,0.71534,0.53898,0.6051,0.40028,1.12277,0.85903,1.16801,0.000705594,0.000705594,0.000705594
85,3726.63,0.88013,0.64202,1.04461,0.70745,0.54271,0.60233,0.40095,1.12293,0.8582,1.16888,0.000627848,0.000627848,0.000627848
